date,amount,description,account
10/19/15,-157.4,Debit Card Purchase - ULTIMARCLTD 07769654888  ,Capital One
10/16/15,-50,Electronic Payment to National Grid,Capital One
10/16/15,-1500,Withdrawal from ALLY BANK $TRANSFER,Capital One
10/15/15,3662.55,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
10/13/15,-4399.51,Withdrawal from AMEX EPayment ACH PMT,Capital One
10/11/15,1000,Deposit from Savings XXXXX8671,Capital One
10/10/15,-102.25,ATM Withdrawal - 686 WASHINGTON AVE  BROOKLYN  NY US,Capital One
10/09/15,-11.98,Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY,Capital One
10/02/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
09/30/15,0.16,Monthly Interest Paid,Capital One
09/30/15,3217.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
09/29/15,-300,Withdrawal from ALLY BANK $TRANSFER,Capital One
09/23/15,-289.61,Withdrawal from AMEX EPayment ACH PMT,Capital One
09/18/15,-2500,Withdrawal from ALLY BANK $TRANSFER,Capital One
09/17/15,-43,Debit Card Purchase - RENEGADEJUG 8314267343 CA,Capital One
09/15/15,-12.42,Debit Card Purchase - ALPINE MEATS BLAIRSTOWN NJ,Capital One
09/15/15,3127.92,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
09/11/15,40,Deposit from VENMO CASHOUT,Capital One
09/02/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
09/02/15,-833,Withdrawal from ALLY BANK $TRANSFER,Capital One
09/02/15,-747.95,Withdrawal from AMEX EPayment ACH PMT,Capital One
09/02/15,-500,Withdrawal from ALLY BANK $TRANSFER,Capital One
09/02/15,-114.94,Withdrawal from PAYPAL to GARY KERTIS INST XFER,Capital One
09/01/15,-1000,Internet Withdrawal to ShareBuilder Individual XXX3902,Capital One
08/31/15,0.13,Monthly Interest Paid,Capital One
08/31/15,-18.96,Electronic Payment to National Grid,Capital One
08/31/15,3256.86,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
08/30/15,70.69,Check Deposit (Mobile),Capital One
08/18/15,-1700,Withdrawal from ALLY BANK $TRANSFER,Capital One
08/18/15,-1345.53,Withdrawal from AMEX EPayment ACH PMT,Capital One
08/14/15,3127.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
08/07/15,-16.88,Electronic Payment to National Grid,Capital One
